ODCF_name,ID,ASID,Name,sample_name,RIN,Cell_line,Condition,Culture,Batch,QC_comment,timepoint_d,Age generation of fibroblasts ,Sex,Psi_conc_uM,Psi_trt_time_min,Ket_conc_uM,Ket_trt_time_min,PLG_conc_uM,PLG_trt_time_min,Condition_simple,Treatment_simple
trt61-1,,,1D 10µM Psi + 75µM Ket 10min 1,OE0533_MS_692_1_T61,8.0,69_2,1D_10µM_Psi_75µM_Ket_10min_1,2D,1,,,,Female,10,10,75,20,0,0,Trt6,ket
trt61-3,,,1D 10µM Psi + 75µM Ket 10min 1,OE0533_MS_683_2_T61,9.4,68_3,1D_10µM Psi_75µM_Ket_10min_1,2D,2,,,,Female,10,10,75,20,0,0,Trt6,ket
trt62-1,,,1D 10µM Psi + 75µM Ket 10min 2,OE0533_MS_692_1_T62,8.2,69_2,1D_10µM_Psi_75µM_Ket_10min_2,2D,1,,,,Female,10,10,75,20,0,0,Trt6,ket
trt62-2,,,1D 10µM Psi + 75µM Ket 10min 2,OE0533_MS_683_1_T62,8.9,68_3,1D_10µM_Psi_75µM_Ket_10min_2,2D,1,,,,Female,10,10,75,20,0,0,Trt6,ket
trt63-2,,,1D 10µM Psi + 75µM Ket 10min 3,OE0533_MS_688_1_T63,8.7,68_3,1D_10µM_Psi_75µM_Ket_10min_3,2D,1,,,,Female,10,10,75,20,0,0,Trt6,ket
trt71-1,,,Ctrl + 4h PLG 1,OE0533_MS_692_1_T71,8.2,69_2,Ctrl_4h_PLG_1,2D,1,,,,Female,0,0,0,0,1 mg/ml,240,Trt7,Ctrl_PLG
trt71-3,,,Ctrl + 4h PLG 1,OE0533_MS_683_2_T71,8.8,68_3,Ctrl_4h_PLG_1,2D,2,,,,Female,0,0,0,0,1 mg/ml,240,Trt7,Ctrl_PLG
trt72-1,,,Ctrl + 4h PLG 2,OE0533_MS_692_1_T72,8.2,69_2,Ctrl_4h_PLG_2,2D,1,,,,Female,0,0,0,0,1 mg/ml,240,Trt7,Ctrl_PLG
trt72-3,,,Ctrl + 4h PLG 2,OE0533_MS_683_2_T72,8.3,68_3,Ctrl_4h_PLG_2,2D,2,,,,Female,0,0,0,0,1 mg/ml,240,Trt7,Ctrl_PLG
trt81-1,,,3D 10µM Psi + 4h PLG 1,OE0533_MS_692_1_T81,5.7,69_2,3D_10µM_Psi_4h_PLG_1,2D,1,,,,Female,10,10,0,0,1 mg/ml,240,Trt8,PLG
trt81-3,,,3D 10µM Psi + 4h PLG 1,OE0533_MS_683_2_T81,6.4,68_3,3D_10µM_Psi_4h_PLG_1,2D,2,,,,Female,10,10,0,0,1 mg/ml,240,Trt8,PLG
trt82-1,,,3D 10µM Psi + 4h PLG 2,OE0533_MS_692_1_T82,5.7,69_2,3D_10µM_Psi_4h_PLG_2,2D,1,,,,Female,10,10,0,0,1 mg/ml,240,Trt8,PLG
trt82-3,,,3D 10µM Psi + 4h PLG 2,OE0533_MS_683_2_T82,6.2,68_3,3D_10µM_Psi_4h_PLG_2,2D,2,,,,Female,10,10,0,0,1 mg/ml,240,Trt8,PLG
