path,current_blob,archive_blob,initial_blob,unchanged_since_initial
raw_data/IlseID29538/featureCounts/trt32-1_OE0533_MS_69_2.fpkm_tpm.featureCounts.tsv,f569e93bc6b14c845f52e59b04f4b607d1e4b0a5,f569e93bc6b14c845f52e59b04f4b607d1e4b0a5,f569e93bc6b14c845f52e59b04f4b607d1e4b0a5,True
raw_data/IlseID29538/featureCounts/trt32-2_OE0533_MS_68_3.fpkm_tpm.featureCounts.tsv,7aea2327dd73de328a05b2876366cbb07a5d056e,7aea2327dd73de328a05b2876366cbb07a5d056e,7aea2327dd73de328a05b2876366cbb07a5d056e,True
raw_data/IlseID29538/featureCounts/trt33-1_OE0533_MS_69_2.fpkm_tpm.featureCounts.tsv,492c4e42c1386789762c20e1166b46c12882bef0,492c4e42c1386789762c20e1166b46c12882bef0,492c4e42c1386789762c20e1166b46c12882bef0,True
raw_data/IlseID29538/featureCounts/trt33-2_OE0533_MS_68_3.fpkm_tpm.featureCounts.tsv,824357163538d9bb962f283f53893edca6aa811d,824357163538d9bb962f283f53893edca6aa811d,824357163538d9bb962f283f53893edca6aa811d,True
raw_data/IlseID29538/featureCounts/trt41-1_OE0533_MS_69_2.fpkm_tpm.featureCounts.tsv,355a3cfc28f3ed3c59ca08e10bd547e66f0470b4,355a3cfc28f3ed3c59ca08e10bd547e66f0470b4,355a3cfc28f3ed3c59ca08e10bd547e66f0470b4,True
raw_data/IlseID29538/featureCounts/trt41-2_OE0533_MS_68_3.fpkm_tpm.featureCounts.tsv,0c8bb848aac4dc5a01cb27f58ac4a7f1e09e5fde,0c8bb848aac4dc5a01cb27f58ac4a7f1e09e5fde,0c8bb848aac4dc5a01cb27f58ac4a7f1e09e5fde,True
raw_data/IlseID29538/featureCounts/trt41-3_OE0533_MS_68_3.fpkm_tpm.featureCounts.tsv,a0b17c21086e163030c3bb27fe91c2dbaf571c69,a0b17c21086e163030c3bb27fe91c2dbaf571c69,a0b17c21086e163030c3bb27fe91c2dbaf571c69,True
raw_data/IlseID29538/featureCounts/trt42-1_OE0533_MS_69_2.fpkm_tpm.featureCounts.tsv,d0cb8b3ff5aea63a4255a594501408246f3c9790,d0cb8b3ff5aea63a4255a594501408246f3c9790,d0cb8b3ff5aea63a4255a594501408246f3c9790,True
raw_data/IlseID29538/featureCounts/trt42-2_OE0533_MS_68_3.fpkm_tpm.featureCounts.tsv,bbb7891d711ca9efca790c1ad6c7b1a0826807fa,bbb7891d711ca9efca790c1ad6c7b1a0826807fa,bbb7891d711ca9efca790c1ad6c7b1a0826807fa,True
raw_data/IlseID29538/featureCounts/trt43-1_OE0533_MS_69_2.fpkm_tpm.featureCounts.tsv,f11a721c78f433573b2dca5ab105e3ff23838348,f11a721c78f433573b2dca5ab105e3ff23838348,f11a721c78f433573b2dca5ab105e3ff23838348,True
raw_data/IlseID29538/featureCounts/trt43-2_OE0533_MS_68_3.fpkm_tpm.featureCounts.tsv,f9bcb9b37f411f50fb0b20cf39cf98b3b63880af,f9bcb9b37f411f50fb0b20cf39cf98b3b63880af,f9bcb9b37f411f50fb0b20cf39cf98b3b63880af,True
raw_data/IlseID29538/featureCounts/trt51-3_OE0533_MS_68_3.fpkm_tpm.featureCounts.tsv,f6e8c638d2e458627e4142c4184dc466314cb063,f6e8c638d2e458627e4142c4184dc466314cb063,f6e8c638d2e458627e4142c4184dc466314cb063,True
raw_data/IlseID29538/featureCounts/trt511-2_OE0533_MS_68_3.fpkm_tpm.featureCounts.tsv,80955cba1876aa15a34f3f456c72942a3007e894,80955cba1876aa15a34f3f456c72942a3007e894,80955cba1876aa15a34f3f456c72942a3007e894,True
raw_data/IlseID29538/featureCounts/trt511-4_OE0533_MS_69_2.fpkm_tpm.featureCounts.tsv,d9e520e96765dd659881c665dfc2888f3eb0062a,d9e520e96765dd659881c665dfc2888f3eb0062a,d9e520e96765dd659881c665dfc2888f3eb0062a,True
raw_data/IlseID29538/featureCounts/trt512-2_OE0533_MS_68_3.fpkm_tpm.featureCounts.tsv,ee6d856fb0a78288f4820a00ad89b5e66695b367,ee6d856fb0a78288f4820a00ad89b5e66695b367,ee6d856fb0a78288f4820a00ad89b5e66695b367,True
raw_data/IlseID29538/featureCounts/trt512-4_OE0533_MS_69_2.fpkm_tpm.featureCounts.tsv,f81c662d31f9934dc6c9767efc0889b810a577af,f81c662d31f9934dc6c9767efc0889b810a577af,f81c662d31f9934dc6c9767efc0889b810a577af,True
raw_data/IlseID29538/featureCounts/trt52-1_OE0533_MS_69_2.fpkm_tpm.featureCounts.tsv,748ee3593ea46f571402bae4b7ad2c23d585db7c,748ee3593ea46f571402bae4b7ad2c23d585db7c,748ee3593ea46f571402bae4b7ad2c23d585db7c,True
raw_data/IlseID29538/featureCounts/trt52-2_OE0533_MS_68_3.fpkm_tpm.featureCounts.tsv,a7b990400fc32bd78313e10621f29b87af46a176,a7b990400fc32bd78313e10621f29b87af46a176,a7b990400fc32bd78313e10621f29b87af46a176,True
raw_data/IlseID29538/featureCounts/trt61-1_OE0533_MS_69_2.fpkm_tpm.featureCounts.tsv,72501e445740cf7cae187f52945a3cc82c0f080d,72501e445740cf7cae187f52945a3cc82c0f080d,72501e445740cf7cae187f52945a3cc82c0f080d,True
raw_data/IlseID29538/featureCounts/trt61-3_OE0533_MS_68_3.fpkm_tpm.featureCounts.tsv,3718edaf027e2dd7153b26e8a652632c78c0dc65,3718edaf027e2dd7153b26e8a652632c78c0dc65,3718edaf027e2dd7153b26e8a652632c78c0dc65,True
raw_data/IlseID29538/featureCounts/trt62-1_OE0533_MS_69_2.fpkm_tpm.featureCounts.tsv,fe8d2d0b1365cca78c223a3d07e9541bd6ea5408,fe8d2d0b1365cca78c223a3d07e9541bd6ea5408,fe8d2d0b1365cca78c223a3d07e9541bd6ea5408,True
raw_data/IlseID29538/featureCounts/trt62-2_OE0533_MS_68_3.fpkm_tpm.featureCounts.tsv,1e1e98d0db4e4c2f3e81842f00ebd3dcfe6742ed,1e1e98d0db4e4c2f3e81842f00ebd3dcfe6742ed,1e1e98d0db4e4c2f3e81842f00ebd3dcfe6742ed,True
raw_data/IlseID29538/featureCounts/trt63-2_OE0533_MS_68_3.fpkm_tpm.featureCounts.tsv,cc06fd012df75523c32a811a451c885a16b8d503,cc06fd012df75523c32a811a451c885a16b8d503,cc06fd012df75523c32a811a451c885a16b8d503,True
raw_data/IlseID29538/featureCounts/trt71-1_OE0533_MS_69_2.fpkm_tpm.featureCounts.tsv,40f614a827edd1a43746f449d794263c85aa07bf,40f614a827edd1a43746f449d794263c85aa07bf,40f614a827edd1a43746f449d794263c85aa07bf,True
raw_data/IlseID29538/featureCounts/trt71-3_OE0533_MS_68_3.fpkm_tpm.featureCounts.tsv,37ffd125c8af34116d63fc04122c14bdca75efc7,37ffd125c8af34116d63fc04122c14bdca75efc7,37ffd125c8af34116d63fc04122c14bdca75efc7,True
raw_data/IlseID29538/featureCounts/trt72-1_OE0533_MS_69_2.fpkm_tpm.featureCounts.tsv,31aa44b37012498369a3f70dd1b18222da2a86e0,31aa44b37012498369a3f70dd1b18222da2a86e0,31aa44b37012498369a3f70dd1b18222da2a86e0,True
raw_data/IlseID29538/featureCounts/trt72-3_OE0533_MS_68_3.fpkm_tpm.featureCounts.tsv,18763df739802ee3b737cb657a9d16f590e1ca53,18763df739802ee3b737cb657a9d16f590e1ca53,18763df739802ee3b737cb657a9d16f590e1ca53,True
raw_data/IlseID29538/featureCounts/trt81-1_OE0533_MS_69_2.fpkm_tpm.featureCounts.tsv,260a5d664d2b4a866b915af23a36e2035f1022d3,260a5d664d2b4a866b915af23a36e2035f1022d3,260a5d664d2b4a866b915af23a36e2035f1022d3,True
raw_data/IlseID29538/featureCounts/trt81-3_OE0533_MS_68_3.fpkm_tpm.featureCounts.tsv,32d9959e3fb97ad9a4464e88f88b4ed0ec75091c,32d9959e3fb97ad9a4464e88f88b4ed0ec75091c,32d9959e3fb97ad9a4464e88f88b4ed0ec75091c,True
raw_data/IlseID29538/featureCounts/trt82-1_OE0533_MS_69_2.fpkm_tpm.featureCounts.tsv,75f60acd622795a3f24fc3f3f02cd32127b7722b,75f60acd622795a3f24fc3f3f02cd32127b7722b,75f60acd622795a3f24fc3f3f02cd32127b7722b,True
raw_data/IlseID29538/featureCounts/trt82-3_OE0533_MS_68_3.fpkm_tpm.featureCounts.tsv,9a42737b96cddda7451a349a5ce0b34aae749b24,9a42737b96cddda7451a349a5ce0b34aae749b24,9a42737b96cddda7451a349a5ce0b34aae749b24,True
raw_data/IlseID29538/~$MS_RNAseq_metadata2022.xlsx,c5135ee5ff636178bf7a825f385827a1e0ebfe9f,c5135ee5ff636178bf7a825f385827a1e0ebfe9f,c5135ee5ff636178bf7a825f385827a1e0ebfe9f,True
