"variant","contrast","baseline_mapped","baseline_NES","baseline_pval","mapped","NES","pval","delta_NES","leading_edge","rescued_leading_edge","bonferroni_15","robustness"
"primary","day1_vs_control",182,2.48577205846526,9.96315074925409e-17,198,2.55050445524801,2.14552157064735e-19,0.0647323967827527,"GPX4;TIMM13;CYC1;COX8A;NDUFS6;OGDH;HSD17B10;MRPS12;NDUFB2;CYB5R3;RHOT2;UQCRC1;MDH2;NDUFS8;COX6B1;POLR2F;MRPS15;ATP6V1F;SLC25A11;COX10;SLC25A5;ACO2;MFN2;NDUFV1;ECI1;ACAA1;ECHS1;UQCR10;ATP5MF;COX4I1;IDH2;TIMM8B;TIMM50;ECH1;ATP5MC1;NDUFA3;ATP5MC3;COX5B;SLC25A6;NDUFA2;COX17;UQCRQ;ETFB;MRPL15;GPI;NDUFA8;UQCR11;BAX;MRPL11;ATP6V0C;TOMM22;NDUFB7;TIMM10;ATP5F1B;TCIRG1;IDH3B;IDH3G;ATP5F1D;PHYH;SDHB;SLC25A3;GRPEL1;CYCS;PDHA1;SLC25A4;NDUFA1;ATP6V0B;UQCRFS1;NDUFB6;NDUFS3;ATP5MC2;NDUFAB1;ATP5MG;ATP5ME;ATP6V1E1;PHB2;ATP5F1C;NDUFA9;PMPCA;NDUFS7;GOT2;ATP5PO;MRPS11;COX7C;VDAC1;SDHC;COX6C;HTRA2;NDUFS4;NDUFB3;SURF1;COX7B;MRPL34;ALAS1;ATP5PB;COX5A;COX6A1;NDUFB8;NDUFA7;SDHA;DLST;ATP5F1E;ATP6AP1;UQCRC2;UQCRH;POR;FH","ATP5MF;ATP5MC1;ATP5MC3;ATP5F1B;ATP5F1D;ATP5MC2;ATP5MG;ATP5ME;ATP5F1C;ATP5PO;ATP5PB;ATP5F1E",3.21828235597102e-18,"robust"
"primary","day3_vs_control",182,2.50104463808893,3.09974262814918e-17,198,2.59283654751272,4.33230305386333e-21,0.0917919094237898,"NDUFS6;SLC25A11;OGDH;HSD17B10;COX6B1;TIMM13;GPX4;GPI;COX4I1;CYC1;UQCRC1;COX8A;ACO2;ATP5MC2;MFN2;ATP6V1F;ECHS1;UQCR10;ATP5MF;NDUFA8;SLC25A6;IDH2;POLR2F;CYB5R3;IDH3G;NDUFA3;MDH2;TIMM10;TOMM22;NDUFV1;ECH1;TIMM8B;SLC25A5;NDUFS8;UQCR11;ACAA1;BAX;ETFB;NDUFB2;TIMM50;MRPL11;ATP5PO;GRPEL1;NDUFA2;COX5B;COX10;PHB2;MRPS11;MRPS12;IDH3B;NDUFS3;NDUFB7;GOT2;MRPS15;ATP5F1B;ATP5F1A;ATP5MC3;ATP6V0B;COX7C;ECI1;ATP5ME;ATP5MC1;SLC25A4;SDHC;ATP5MG;ATP5F1E;NDUFB6;ATP5PB;UQCRH;NDUFA1;ATP5F1D;COX17;NDUFB8;ATP6AP1;SDHA;UQCRFS1;RHOT2;ALAS1;UQCRQ;ATP6V1E1;ATP5PD;NDUFA9;COX6C;ATP5F1C;VDAC1;LDHA;COX5A;POR;COX7B;COX7A2;NDUFAB1;FH;NDUFS4;CS;NQO2;PHYH;SURF1;SDHB;MGST3;ATP6V0C;IMMT;HADHA;PMPCA;DLST;PDHA1;MRPL15;MRPL35;ATP6V1H;SLC25A3;UQCRC2;LDHB;FXN;ALDH6A1;COX7A2L;NDUFB4;NDUFS2;IDH1;AFG3L2;COX6A1;ATP6V1G1;HTRA2","ATP5MC2;ATP5MF;ATP5PO;ATP5F1B;ATP5F1A;ATP5MC3;ATP5ME;ATP5MC1;ATP5MG;ATP5F1E;ATP5PB;ATP5F1D;ATP5PD;ATP5F1C",6.498454580795e-20,"robust"
"primary","day3_vs_day1",182,-1.82654008002096,5.04212799109696e-06,198,-1.86627079757638,1.93644025708502e-06,-0.0397307175554231,"RHOT2;MRPS12;CYCS;GPX4;TCIRG1;MRPL15;NDUFB2;NDUFV2;MRPS15;TIMM13;ATP6V0C;ECI1;CYC1;UQCRQ;COX10;SLC25A3;MPC1;COX17;PHYH;COX8A;SDHB;NDUFS8;PDHA1;MRPL34;ATP5MC1;CYB5R3;SLC25A5;MDH2;NDUFA7;HSPA9;ATP5MC3;ACAA1;NDUFS7;NDUFV1;NDUFAB1;FDX1;NDUFB3;SLC25A20;NDUFS6;TIMM50;HSD17B10;ATP5F1D;OGDH;POLR2F;COX5B;TIMM8B;NDUFA2;PMPCA;UQCRFS1;NDUFA1;ATP5F1B;NDUFB7;HTRA2;ATP1B1;ECH1;TIMM9;ATP6V1F;NDUFB6;IDH3A;ETFB;SLC25A4;ATP5F1C;UQCRC1;MRPL11;ATP6V1E1;NDUFA9;IDH3B;MTX2;COX6A1;MRPS22;MFN2;ATP5MF;SUCLG1;BAX;IDH2;UQCR11;UQCR10;ECHS1;ATP6V0B;ATP5MG;OXA1L;ACAT1;VDAC2;SURF1;NDUFS4;NDUFA3;ACO2;MRPS30;ABCB7;DLD;TOMM22;GRPEL1;VDAC1;COX7B;DLAT;ATP5ME;TIMM10;NDUFS3;ATP6V0E1;ACADVL;NDUFA6;COX6B1;UQCRC2;SDHD","ATP5MC1;ATP5MC3;ATP5F1D;ATP5F1B;ATP5F1C;ATP5MF;ATP5MG;ATP5ME",2.90466038562752e-05,"block-dependent"
