"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","symbol"
0.033640336666636,0,5.0232416043503,0,1,,"ENSG00000223972.4","DDX11L1"
28.8491174976382,-1.26390562526943,0.533730075422774,-2.36806146677845,0.0178815648350349,0.0991811299884669,"ENSG00000227232.4","WASH7P"
0.0470931762778149,0,5.0232416043503,0,1,,"ENSG00000243485.2","MIR1302-11"
0.0506288672322866,0.290554928479267,5.0232416043503,0.0578421169763438,0.953874389823073,,"ENSG00000240361.1","OR4G11P"
2.609082145953,-0.305849232924431,0.644861500820278,-0.474286699601983,0.635295474761221,,"ENSG00000238009.2","RP11-34P13.7"
1.55719067849117,-0.874034432391971,0.806041762700824,-1.08435378021025,0.278207968477461,,"ENSG00000233750.3","CICP27"
85.2719474446525,-0.431210755293585,0.311298827935322,-1.38519877557386,0.165991695015242,0.375063103819593,"ENSG00000237683.5","AL627309.1"
0.411370478069529,-1.47910004290555,1.69116469856118,-0.874604374230348,0.381789206899179,,"ENSG00000268903.1","RP11-34P13.15"
0.996501039701495,-0.340922571326783,1.09326538116731,-0.311838806203459,0.755163030451833,,"ENSG00000239906.1","RP11-34P13.14"
25.5147054224219,0.186943417235626,0.323369677757269,0.578110534457567,0.563189495244813,0.760235315947402,"ENSG00000241860.2","RP11-34P13.13"
0.151260173419122,0.133615180304195,3.84176705566989,0.0347796153093139,0.97225547542299,,"ENSG00000222623.1","RNU6-1100P"
0.178189329310266,1.33502497237182,3.73588123947979,0.357352090923993,0.720828237911812,,"ENSG00000241599.1","RP11-34P13.9"
19.6812347723391,-0.264505272999506,0.211900007158634,-1.24825513951724,0.211937636960624,0.434729557347678,"ENSG00000228463.4","AP006222.2"
10.5603393494707,-0.228219097383188,0.511732795848224,-0.445973170441231,0.655616626299152,0.820570229910601,"ENSG00000237094.7","RP4-669L17.10"
0.0402017883880219,-0.221758869076184,5.0232416043503,-0.0441465664092551,0.96478757431708,,"ENSG00000256186.1","AL732372.1"
0.323347697972413,1.93279114976852,2.59995615525367,0.743393747568773,0.457243328600275,,"ENSG00000231709.1","RP5-857K21.1"
