"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","symbol","contrast"
145.683635726304,2.17733548495388,0.383992938302681,5.67024876701666,1.42590323440656e-08,6.15264737723323e-07,"ENSG00000120738.7","EGR1","day1_vs_control"
50.0729603146043,2.03254401105879,0.456369282777314,4.45372659327419,8.43925536933665e-06,0.000101201114485049,"ENSG00000198576.2","ARC","day1_vs_control"
1699.2692396866,-0.343992293859429,0.258242835981643,-1.33204970643941,0.182843855345828,0.316964175114319,"ENSG00000148053.11","NTRK2","day1_vs_control"
344.08338817252,1.46003242694421,0.380658748847181,3.83554149580404,0.000125287949873513,0.000901801910195804,"ENSG00000176697.14","BDNF","day1_vs_control"
1291.51506249113,2.69917801201683,0.62129340983221,4.34444977091546,,,"ENSG00000170345.5","FOS","day1_vs_control"
1786.38138764935,0.661056935797024,0.217245484933452,3.0429029905939,0.00234307854081338,0.00996162778069231,"ENSG00000132535.14","DLG4","day1_vs_control"
2832.02942245604,0.511065029518445,0.129270878959471,3.95344282975499,7.70346764271553e-05,0.000603205306184618,"ENSG00000008056.8","SYN1","day1_vs_control"
145.683635726304,0.0529262850741431,0.382164857727028,0.138490716778431,0.889852605858793,0.947738498841316,"ENSG00000120738.7","EGR1","day3_vs_control"
50.0729603146043,0.4245430011901,0.44912301660918,0.945271084958736,0.344520496468732,0.578003250910331,"ENSG00000198576.2","ARC","day3_vs_control"
1699.2692396866,-0.0120779570063841,0.248662123103769,-0.0485717601684912,0.961260575513391,0.982852605719308,"ENSG00000148053.11","NTRK2","day3_vs_control"
344.08338817252,-0.0978548923142978,0.368977210993359,-0.265205788863907,0.790850935661697,0.896011357938779,"ENSG00000176697.14","BDNF","day3_vs_control"
1291.51506249113,-0.409247428661328,0.603445677695188,-0.678184373155866,,,"ENSG00000170345.5","FOS","day3_vs_control"
1786.38138764935,0.474131578164872,0.20929012254361,2.26542740002494,0.0234864644957594,0.126961671221108,"ENSG00000132535.14","DLG4","day3_vs_control"
2832.02942245604,0.47579854529121,0.124522025177116,3.82099909324837,0.000132912140916731,0.00699376824679332,"ENSG00000008056.8","SYN1","day3_vs_control"
145.683635726304,-2.12440919987974,0.38418320373152,-5.52967745400016,3.20820121130465e-08,9.63697812430043e-06,"ENSG00000120738.7","EGR1","day3_vs_day1"
50.0729603146043,-1.60800100986869,0.452452936938698,-3.5539630281736,0.000379472555741515,0.00938645458572965,"ENSG00000198576.2","ARC","day3_vs_day1"
1699.2692396866,0.331914336853045,0.25825022356946,1.28524317332787,0.19870732115701,0.418732861218105,"ENSG00000148053.11","NTRK2","day3_vs_day1"
344.08338817252,-1.55788731925851,0.381067270296016,-4.08822126877581,4.34693433767759e-05,0.00213558383921371,"ENSG00000176697.14","BDNF","day3_vs_day1"
1291.51506249113,-3.10842544067816,0.622896873026358,-4.99027298945299,,,"ENSG00000170345.5","FOS","day3_vs_day1"
1786.38138764935,-0.186925357632151,0.217128620035102,-0.860896908025906,0.389294824763657,0.620928641455315,"ENSG00000132535.14","DLG4","day3_vs_day1"
2832.02942245604,-0.0352664842272342,0.129155989883847,-0.273053415942616,0.784812155093674,0.895445638956179,"ENSG00000008056.8","SYN1","day3_vs_day1"
