"symbol","statistic"
"FOSL2",17.0769973074918
"FOS",16.6819806262209
"DLK1",16.3814182929923
"VGF",14.4932113569387
"LINC00473",13.7387670410718
"NPAS4",13.581285200438
"UTS2",11.9752425575268
"CYSTM1",11.3836441269872
"BDNF",11.1201987228178
"LGI2",10.9674522912444
"TH",10.7102544722126
"ETV4",10.2827575051444
"DUSP4",9.95766916662724
"RP11-867G23.10",9.91881226141401
"NR4A3",9.72277309641972
"FAT1",9.11810115860511
"SST",8.96978225572531
"EMD",8.88052123094482
"ODC1",8.8341954041142
"CALR",8.74722878202775
"PAK6",8.60275036690461
"PTPRH",8.4254133261935
"RP11-466P24.7",8.34466677853175
"NR4A1",8.28976523385249
"CNN2",8.01523728160359
"PPARGC1A",7.97964999170245
"CSRNP1",7.96682260056483
"SLC6A17",7.86947053777712
"ZCCHC12",7.48367739444866
"GNB4",7.40832715147914
"TSC22D3",7.33187566683664
"DUSP26",7.31364436978359
"TP53INP2",7.30317228279977
"GNG4",7.30270471123457
"WDR1",7.21155157451802
"CCDC86",7.18375991600288
"DUSP5",7.17321910824183
"TYRO3",7.14273355487726
"MAP1LC3A",7.09246516613872
"FRAS1",7.01397031224119
"IL13RA2",6.98511226573894
"PENK",6.95164827663684
"MYH9",6.89961975685093
"NSMF",6.88046071135425
"BTBD6",6.86456860330008
"ALDOA",6.83493299316071
"GPX4",6.82524911235322
"SIK1",6.78224137464177
"KCTD12",6.7522791961182
"POLR2E",6.75080599425842
"KIF17",6.73979087455469
"ARHGDIA",6.71756409575662
"HRAS",6.63417350652895
"RP11-373D23.2",6.60676284027273
"FABP3",6.59527150110466
"EDF1",6.56014983753824
"SPAG4",6.50381143970781
"ZNF259",6.43038668838277
"PDE3A",6.41836048225879
"FNDC4",6.41264921068749
"HSPA8",6.38922445975827
"SNAP25",6.35380407203197
"SH3GL2",6.34793867023263
"GABRQ",6.33083108090026
"EGR1",6.31809968248978
"GNB2",6.23929423967552
"SPRY4",6.21517343299709
"CTNNBIP1",6.18393092899038
"GUK1",6.17469427377469
"UTP20",6.15107177343288
"STIP1",6.1321963327265
"STAC",6.11020320230193
"B2M",6.10813366295225
"MRPL54",6.09275101062676
"PSMD8",6.08005358811864
"HSPBP1",6.06737812655384
"RBP4",6.05159575332245
"CCDC124",6.05112031885341
"PPP1R15A",6.02167381905529
