pathway,pval,log2err,ES,NES,size,leadingEdge,tier,variant,contrast,rank_kind,fgsea_internal_padj,ranked_genes,rank_ties,family_fdr,robustness,test_status
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,0.0070600100857286,0.274717458595242,-0.526070567475756,-1.7795417639024,25.0,DDIT3;HERPUD1;ATF3;CEBPB;ASNS;EXOSC8;CEBPG;DIS3;ATF4;EXOSC3;ATF6;CCL2;NFYB,secondary,primary,day3_vs_control,Wald,0.0083436482831339,21098,0,0.0164733568667003,robust,tested
REACTOME_SIGNALING_BY_NTRK2_TRKB,0.0083458521115005,0.204544131818546,0.551659956005648,1.71019875549528,24.0,HRAS;CDK5;FRS3;SRC;CDK5R1;GRB2;FYN,secondary,primary,day3_vs_control,Wald,0.0090413397874589,21098,0,0.0175262894341512,robust,tested
HALLMARK_FATTY_ACID_METABOLISM,8.12281730228824e-05,0.538434096309916,0.406769206043325,1.74605481895473,139.0,ALDOA;NTHL1;ODC1;HSD17B10;ACO2;ECHS1;UBE2L6;GRHPR;MGLL;IDH3G;TP53INP2;ENO2;MDH2;APEX1;ECH1;GCDH;ACAA1;CRAT;ACAT2;UROD;IDH3B;LGALS1;EPHX1;ADSL;YWHAH;BLVRA;CYP4A11;ECI1;FASN;NSDHL;UROS;RAP1GDS1;D2HGDH;MLYCD;SDHC;PCBD1;REEP6;SDHA;CYP4A22;CEL;DHCR24;NCAPH2;MIF;LDHA;GLUL;ACOT8;SMS;CBR1;FH;ERP29;DLST;ALDH3A2;PDHA1;ACADS;GSTZ1;METAP1;S100A10,secondary,primary,day3_vs_control,Wald,0.0001759943748829,21098,0,0.0003411583266961,block-dependent,tested
REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,,,,,,,secondary,primary,day3_vs_control,Wald,,21098,0,1.0,unsupported,untestable under frozen minSize=15
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,0.0047549378200438,0.285313392143872,-0.338353747452521,-1.52101164490527,145.0,SLC25A22;NDUFAF3;CYCS;NDUFB2;NDUFV2;TACO1;CYC1;UQCRQ;NDUFA13;ECSIT;NDUFAF2;COX17;COX8A;SDHB;NDUFS8;TMEM223;TIMM21;MDH2;HIGD1A;NDUFA7;FOXRED1;HSPA9;NDUFA12;NDUFS7;NDUFV1;NDUFAB1;NDUFB3;NDUFS6;NDUFA11;SCO2;COX5B;NDUFAF1;NDUFA2;NDUFAF5;UQCRFS1;UQCC2;NDUFA1;COX19;TMEM126A;NDUFB7;NDUFB6;ETFB;SLC25A18;UQCRC1;HIGD2A;CMC1;NDUFA9;LYRM4;BCS1L;COX6A1;ACAD9;UQCR11;UQCR10;OXA1L;TTC19;SURF1;NDUFS4;NDUFA3;COX7B;TIMMDC1;NDUFB10;NDUFB9;LETM1;NDUFS3;NDUFA6;COX6B1;UQCRC2;SDHD;NDUFC2;COX5A;COX6C,secondary,primary,day3_vs_day1,Wald,0.0154535479151426,21098,0,0.0124817117776152,block-dependent,tested
REACTOME_AUTOPHAGY,0.593611357586513,0.0238706923384388,0.205964811174438,0.945575905709767,144.0,TUBA1A;TUBB2B;TUBA1C;EEF1A1;TUBA1B;TUBB2A;NBR1;RRAGB;TUBB4B;DYNC1I1;TUBB4A;PRKAA1;ATG14;PRKAA2;RB1CC1;DYNC1LI2;ATG13;DYNC1I2;ATM;RPS27A;MAP1LC3B;DYNC1H1;ATG4C;PCNT;IFT88;TSC1;ATG12;WIPI2;PIK3C3;UBC;TOMM20;GABARAPL2;TOMM7;MFN1;VCP;LAMP2;RRAGD;PLIN2;PRKAB2;CFTR;UBB;VPS37A;ARL13B;FUNDC1;PRKAG2,secondary,primary,day3_vs_day1,Wald,0.67795302858582,21098,0,0.821366169248205,unsupported,tested
REACTOME_MITOPHAGY,0.981656580937973,0.0138877414043761,-0.171258489786443,-0.589804343914315,35.0,MAP1LC3A;TOMM40,secondary,primary,day3_vs_day1,Wald,0.981656580937973,21098,0,1.0,unsupported,tested
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,0.62580279561768,0.020499056300524,-0.278608169982141,-0.887083956118736,25.0,ATF3;DDIT3;EXOSC1;EXOSC7;EXOSC4;EXOSC5;KHSRP,secondary,primary,day3_vs_day1,Wald,0.67795302858582,21098,0,0.821366169248205,unsupported,tested
REACTOME_SIGNALING_BY_NTRK2_TRKB,0.157627118644068,0.0509047480122043,0.396326815039423,1.27063593815357,24.0,GAB1;GRIN2B;TIAM1;PLCG1;PIK3CA;FYN;CDK5;DOCK3;NTRK2;SOS1;CDK5R1;PIK3R1;SRC,secondary,primary,day3_vs_day1,Wald,0.25614406779661,21098,0,0.254628422425033,unsupported,tested
HALLMARK_FATTY_ACID_METABOLISM,0.0248220478189451,0.123095330850962,-0.307798022585611,-1.37441061911215,139.0,ODC1;GPD1;S100A10;MGLL;GAD2;ME1;GSTZ1;AOC3;HSPH1;NCAPH2;ALDOA;HSP90AA1;G0S2;NTHL1;ECI1;ACADS;PCBD1;TP53INP2;HMGCL;PTS;GCDH;CBR1;ENO3;PDHA1;ACOT8,secondary,primary,day3_vs_day1,Wald,0.0537811036077143,21098,0,0.0434385836831539,block-dependent,tested
REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,,,,,,,secondary,primary,day3_vs_day1,Wald,,21098,0,1.0,unsupported,untestable under frozen minSize=15
