"block","contrast","symbol","log2_normalized_ratio"
"68_3__batch1","day1_vs_control","ANK3",-0.0825201037449972
"68_3__batch1","day1_vs_control","CASK",0.146509636398671
"68_3__batch1","day1_vs_control","GDI1",0.826087172443598
"68_3__batch1","day1_vs_control","KIF21B",0.61607329621293
"68_3__batch1","day1_vs_control","MTATP6P1",0.367959799327506
"68_3__batch1","day1_vs_control","DPYSL5",0.732803142915023
"68_3__batch1","day1_vs_control","SLC38A1",-0.322441000163323
"68_3__batch1","day1_vs_control","SV2A",0.377064567209377
"68_3__batch1","day1_vs_control","SYP",0.440269839403904
"68_3__batch1","day1_vs_control","USP11",0.413385398213446
"68_3__batch1","day1_vs_control","MYO5A",0.257072800579037
"68_3__batch1","day1_vs_control","CALM3",0.957060893182438
"68_3__batch1","day1_vs_control","HNRNPA2B1",-0.254178602881485
"68_3__batch1","day1_vs_control","PSAP",-0.0403669181531487
"68_3__batch1","day1_vs_control","NDFIP1",-0.424755748646918
"68_3__batch1","day1_vs_control","CANX",0.0748229514494945
"68_3__batch1","day1_vs_control","APLP2",-0.245501177508659
"68_3__batch1","day1_vs_control","INPP5F",-0.697660074155065
"68_3__batch1","day1_vs_control","FNBP1L",-0.494387654206369
"68_3__batch1","day1_vs_control","PGM2L1",0.0675554325131884
"68_3__batch1","day1_vs_control","GRIA2",-1.11105121060994
"68_3__batch1","day1_vs_control","SEZ6L",-0.77132932652685
"68_3__batch1","day1_vs_control","MAGED1",0.322123104882662
"68_3__batch1","day1_vs_control","PKIA",-0.312425820432116
"68_3__batch1","day1_vs_control","TMOD2",0.151148244965643
"68_3__batch1","day1_vs_control","ENO2",0.678377818105751
"68_3__batch1","day1_vs_control","RELN",-0.40648091766259
"68_3__batch1","day1_vs_control","DST",-0.251155792503036
"68_3__batch1","day1_vs_control","SYT13",-0.15148536920198
"68_3__batch1","day1_vs_control","SYT1",-0.536130628704175
"68_3__batch1","day1_vs_control","SCARB2",-0.409596131207442
"68_3__batch1","day1_vs_control","CFL1",0.904132417319394
"68_3__batch1","day1_vs_control","ENC1",-0.455045189026402
"68_3__batch1","day1_vs_control","BLCAP",0.107477329115596
"68_3__batch1","day1_vs_control","STXBP1",0.528701535017474
"68_3__batch1","day1_vs_control","CSDE1",0.353084567580524
"68_3__batch1","day1_vs_control","TIMP2",-0.14240261641919
"68_3__batch1","day1_vs_control","PAFAH1B1",0.0541023944621397
"68_3__batch1","day1_vs_control","UBA1",0.520190819524176
"68_3__batch1","day1_vs_control","RPL15",-0.207923822772521
"68_3__batch1","day1_vs_control","NSG1",0.265311011679392
"68_3__batch1","day1_vs_control","WSB1",-0.565717229377013
"68_3__batch1","day1_vs_control","YBX1",0.570674734007078
"68_3__batch1","day1_vs_control","SPOCK1",-0.220338595486998
"68_3__batch1","day1_vs_control","VCAN",-0.638329431977285
"68_3__batch1","day1_vs_control","RUFY3",0.135363759427603
"68_3__batch1","day1_vs_control","IDS",0.367612022343041
"68_3__batch1","day1_vs_control","PGRMC1",-0.435857676741763
"68_3__batch1","day1_vs_control","KIF5A",0.288243620030503
"68_3__batch1","day1_vs_control","GABBR1",0.240316104672829
"68_3__batch1","day1_vs_control","DCLK1",0.525439324783159
"68_3__batch1","day1_vs_control","LINC00657",-0.398587671530759
"68_3__batch1","day1_vs_control","SFPQ",-0.0426321864986701
"68_3__batch1","day1_vs_control","CNTN1",-0.421450896530411
"68_3__batch1","day1_vs_control","ZFHX4",0.142716503678235
"68_3__batch1","day1_vs_control","SOX11",-0.136589474981701
"68_3__batch1","day1_vs_control","USP9X",0.0125791926993681
"68_3__batch1","day1_vs_control","PIP4K2B",0.424968280503553
"68_3__batch1","day1_vs_control","NRCAM",-0.636535692797217
"68_3__batch1","day1_vs_control","SF3B1",-0.685270885582408
"68_3__batch1","day1_vs_control","PJA2",-0.0981565996017135
"68_3__batch1","day1_vs_control","RPS4X",-0.112963789463342
"68_3__batch1","day1_vs_control","REEP1",-0.170416627254516
"68_3__batch1","day1_vs_control","ATP5B",0.586091919953091
"68_3__batch1","day1_vs_control","UBC",0.611444552040373
"68_3__batch1","day1_vs_control","MAP6",0.111580042524164
"68_3__batch1","day1_vs_control","YWHAB",-0.0146457476663322
"68_3__batch1","day1_vs_control","CNTNAP2",-0.135340752814182
"68_3__batch1","day1_vs_control","TMBIM6",0.167798929194651
"68_3__batch1","day1_vs_control","USP22",0.594471903476093
"68_3__batch1","day1_vs_control","YWHAH",0.62453243899644
"68_3__batch1","day1_vs_control","RPL4",0.0639707424026223
"68_3__batch1","day1_vs_control","TMEM35",-0.327335238675445
"68_3__batch1","day1_vs_control","SRRM2",0.145970842996524
"68_3__batch1","day1_vs_control","SREBF2",0.183461080650442
"68_3__batch1","day1_vs_control","GAPDH",1.50296064735296
"68_3__batch1","day1_vs_control","SYT4",-0.803546474548638
"68_3__batch1","day1_vs_control","NAV1",0.313703893758209
"68_3__batch1","day1_vs_control","MORF4L1",0.129304675433598
"68_3__batch1","day1_vs_control","L1CAM",0.0439743995316473
"68_3__batch1","day1_vs_control","CBX5",0.316886018561771
"68_3__batch1","day1_vs_control","DDX3X",0.0908336113165564
"68_3__batch1","day1_vs_control","APLP1",0.416991494425702
"68_3__batch1","day1_vs_control","EEF2",0.425671099547678
"68_3__batch1","day1_vs_control","HNRNPK",0.380325366909126
"68_3__batch1","day1_vs_control","NFASC",-0.272450941595197
"68_3__batch1","day1_vs_control","ADAR",0.177673949970416
"68_3__batch1","day1_vs_control","GRIN2B",-0.142408718478976
"68_3__batch1","day1_vs_control","LUC7L3",-1.26651350288992
"68_3__batch1","day1_vs_control","RAB3C",-0.260489723219075
"68_3__batch1","day1_vs_control","EPB41L1",0.675645865820858
"68_3__batch1","day1_vs_control","PREPL",-0.226709639863701
"68_3__batch1","day1_vs_control","EIF4A2",0.262268254068475
"68_3__batch1","day1_vs_control","CADM1",-0.78991474974597
"68_3__batch1","day1_vs_control","PRKACB",-0.240877266484441
"68_3__batch1","day1_vs_control","NDRG4",0.352980636359517
"68_3__batch1","day1_vs_control","GAD1",-0.0765891965854664
"68_3__batch1","day1_vs_control","SOX4",-0.193677172155107
"68_3__batch1","day1_vs_control","VAMP2",0.659753346167912
"68_3__batch1","day1_vs_control","CHD4",0.257958971721227
"68_3__batch1","day1_vs_control","APC",0.108834721558246
"68_3__batch1","day1_vs_control","NEO1",-0.257765232158322
"68_3__batch1","day1_vs_control","DNAJA1",0.605729531742147
