"gene_id","symbol","mean_normalized_count","selected"
"ENSG00000116852.10","KIF21B",26363.6451595363,TRUE
"ENSG00000248527.1","MTATP6P1",26126.4350010073,TRUE
"ENSG00000157851.12","DPYSL5",26009.0063428571,TRUE
"ENSG00000111371.11","SLC38A1",25926.4276801423,TRUE
"ENSG00000159164.5","SV2A",25904.4669598834,TRUE
"ENSG00000102003.6","SYP",25746.6874753663,TRUE
"ENSG00000102226.5","USP11",25591.5071008381,TRUE
"ENSG00000197535.10","MYO5A",25589.4084323245,TRUE
"ENSG00000160014.12","CALM3",25381.915782599,TRUE
"ENSG00000122566.16","HNRNPA2B1",25207.1673115328,TRUE
"ENSG00000197746.9","PSAP",25001.1342277293,TRUE
"ENSG00000131507.9","NDFIP1",24449.5601081629,TRUE
"ENSG00000127022.10","CANX",24356.771253755,TRUE
"ENSG00000084234.12","APLP2",24294.1707064991,TRUE
"ENSG00000198825.7","INPP5F",24268.5938542395,TRUE
"ENSG00000137942.12","FNBP1L",24149.6465018969,TRUE
"ENSG00000165434.6","PGM2L1",24143.1368244432,TRUE
"ENSG00000120251.14","GRIA2",24106.9632394533,TRUE
"ENSG00000100095.14","SEZ6L",23968.5359888062,TRUE
"ENSG00000179222.13","MAGED1",23457.2565918412,TRUE
"ENSG00000171033.8","PKIA",23325.3844556608,TRUE
"ENSG00000128872.5","TMOD2",22980.1048099709,TRUE
"ENSG00000111674.4","ENO2",22738.1601823448,TRUE
"ENSG00000189056.9","RELN",22685.934925773,TRUE
"ENSG00000151914.13","DST",22589.9523006693,TRUE
"ENSG00000019505.3","SYT13",22575.9032275088,TRUE
"ENSG00000067715.9","SYT1",22544.8354825191,TRUE
"ENSG00000138760.4","SCARB2",22435.6773986663,TRUE
"ENSG00000172757.8","CFL1",22426.0738501841,TRUE
"ENSG00000171617.9","ENC1",22369.2921484569,TRUE
"ENSG00000166619.8","BLCAP",22336.2560587971,TRUE
"ENSG00000136854.13","STXBP1",22173.1812572022,TRUE
"ENSG00000009307.11","CSDE1",22151.3772853195,TRUE
"ENSG00000035862.8","TIMP2",21854.9274075355,TRUE
"ENSG00000007168.8","PAFAH1B1",21770.8121223153,TRUE
"ENSG00000130985.12","UBA1",21687.4996520722,TRUE
"ENSG00000174748.14","RPL15",21508.9067936631,TRUE
"ENSG00000168824.10","NSG1",21501.719465284,TRUE
"ENSG00000109046.10","WSB1",21495.0361863093,TRUE
"ENSG00000065978.13","YBX1",21335.9111190388,TRUE
"ENSG00000152377.8","SPOCK1",21286.0977185918,TRUE
"ENSG00000038427.11","VCAN",21089.8504958144,TRUE
"ENSG00000018189.8","RUFY3",20984.3499818899,TRUE
"ENSG00000010404.13","IDS",20951.9367891248,TRUE
"ENSG00000101856.8","PGRMC1",20927.1536066766,TRUE
"ENSG00000155980.7","KIF5A",20824.0177631981,TRUE
"ENSG00000204681.6","GABBR1",20813.082473953,TRUE
"ENSG00000133083.10","DCLK1",20747.4704596771,TRUE
"ENSG00000260032.1","LINC00657",20722.4880116664,TRUE
"ENSG00000116560.6","SFPQ",20662.9189611826,TRUE
"ENSG00000018236.10","CNTN1",20645.4430762943,TRUE
"ENSG00000091656.11","ZFHX4",20394.5096812566,TRUE
"ENSG00000176887.5","SOX11",20309.1311305401,TRUE
"ENSG00000124486.8","USP9X",20260.3376848023,TRUE
"ENSG00000141720.7","PIP4K2B",20195.2364814819,TRUE
"ENSG00000091129.15","NRCAM",20085.726253225,TRUE
"ENSG00000115524.11","SF3B1",20071.3086739281,TRUE
"ENSG00000198961.5","PJA2",19995.8523108332,TRUE
"ENSG00000198034.6","RPS4X",19883.9553687742,TRUE
"ENSG00000068615.12","REEP1",19818.9722329766,TRUE
"ENSG00000110955.4","ATP5B",19605.7968257714,TRUE
"ENSG00000150991.10","UBC",19578.7739948926,TRUE
"ENSG00000171533.7","MAP6",19562.5867603595,TRUE
"ENSG00000166913.8","YWHAB",19509.339095399,TRUE
"ENSG00000174469.13","CNTNAP2",19432.859799268,TRUE
"ENSG00000139644.8","TMBIM6",19342.4257005847,TRUE
"ENSG00000124422.7","USP22",19132.062102227,TRUE
"ENSG00000128245.10","YWHAH",19081.8777823072,TRUE
"ENSG00000174444.10","RPL4",19057.0692025675,TRUE
"ENSG00000126950.7","TMEM35",18882.3063840985,TRUE
"ENSG00000167978.12","SRRM2",18801.97220177,TRUE
"ENSG00000198911.7","SREBF2",18784.0731089011,TRUE
"ENSG00000111640.10","GAPDH",18727.4553715106,TRUE
"ENSG00000132872.7","SYT4",18701.1702714899,TRUE
"ENSG00000134369.11","NAV1",18599.1328016378,TRUE
"ENSG00000185787.10","MORF4L1",18521.6077461926,TRUE
"ENSG00000198910.8","L1CAM",18432.1322885184,TRUE
"ENSG00000094916.9","CBX5",18341.8420619273,TRUE
"ENSG00000215301.5","DDX3X",18308.9960774351,TRUE
"ENSG00000105290.7","APLP1",18279.6362139716,TRUE
"ENSG00000167658.11","EEF2",18169.6504258847,TRUE
"ENSG00000165119.14","HNRNPK",18108.9947508345,TRUE
"ENSG00000163531.11","NFASC",17905.4603947448,TRUE
"ENSG00000160710.11","ADAR",17900.1864773044,TRUE
"ENSG00000273079.1","GRIN2B",17819.5966925031,TRUE
"ENSG00000108848.11","LUC7L3",17800.0810502427,TRUE
"ENSG00000152932.6","RAB3C",17799.5308654314,TRUE
"ENSG00000088367.16","EPB41L1",17730.6814473206,TRUE
"ENSG00000138078.11","PREPL",17729.8409414384,TRUE
"ENSG00000156976.10","EIF4A2",17729.1676337398,TRUE
"ENSG00000182985.12","CADM1",17665.7765135406,TRUE
"ENSG00000142875.15","PRKACB",17645.4040750383,TRUE
"ENSG00000103034.10","NDRG4",17463.1072426908,TRUE
"ENSG00000128683.9","GAD1",17455.4177033124,TRUE
"ENSG00000124766.4","SOX4",17441.7624449197,TRUE
"ENSG00000220205.4","VAMP2",17342.9653721019,TRUE
"ENSG00000111642.10","CHD4",17321.3902523517,TRUE
"ENSG00000134982.12","APC",17297.7461672412,TRUE
"ENSG00000067141.12","NEO1",17241.9542691309,TRUE
"ENSG00000086061.11","DNAJA1",17157.6602525685,TRUE
"ENSG00000084731.9","KIF3C",17055.5256786014,TRUE
"ENSG00000170540.10","ARL6IP1",17009.5530366061,TRUE
"ENSG00000153187.12","HNRNPU",17004.0015159769,TRUE
