primary_pathway,contrast,context_pathway,primary_membership_shared_n,edge_n,context_members_n,edge_shared_n,edge_shared_fraction,jaccard,shared_genes
HALLMARK_PI3K_AKT_MTOR_SIGNALING,day1_vs_control,HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,30,105,30,1.0,0.2857142857142857,AKT1;AKT1S1;AP2M1;ARF1;ARHGDIA;CALR;CDK4;CDKN1A;CFL1;DUSP3;E2F1;ECSIT;HRAS;HSP90B1;MAP2K3;MAPKAP1;MKNK2;MYD88;NFKBIB;PAK4;PFN1;PIN1;PPP1CA;RALB;RPS6KA1;RPTOR;SLC2A1;SQSTM1;TRAF2;TSC2
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day3_vs_control,REACTOME_SIGNALING_BY_NTRK2_TRKB,0,107,25,0,0.0,0.0,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day3_vs_control,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,0,107,63,0,0.0,0.0,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day3_vs_control,REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,0,107,87,0,0.0,0.0,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day3_vs_control,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,0,107,51,0,0.0,0.0,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day3_vs_control,REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,0,107,24,0,0.0,0.0,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day3_vs_control,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0,107,105,0,0.0,0.0,
HALLMARK_GLYCOLYSIS,day3_vs_control,REACTOME_SIGNALING_BY_NTRK2_TRKB,0,54,25,0,0.0,0.0,
HALLMARK_GLYCOLYSIS,day3_vs_control,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,4,54,63,3,0.05555555555555555,0.02631578947368421,AGRN;ARTN;CACNA1H
HALLMARK_GLYCOLYSIS,day3_vs_control,REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,2,54,87,0,0.0,0.0,
HALLMARK_GLYCOLYSIS,day3_vs_control,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,1,54,51,0,0.0,0.0,
HALLMARK_GLYCOLYSIS,day3_vs_control,REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,1,54,24,0,0.0,0.0,
HALLMARK_GLYCOLYSIS,day3_vs_control,HALLMARK_PI3K_AKT_MTOR_SIGNALING,3,54,105,0,0.0,0.0,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day3_vs_control,REACTOME_SIGNALING_BY_NTRK2_TRKB,0,18,25,0,0.0,0.0,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day3_vs_control,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,1,18,63,0,0.0,0.0,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day3_vs_control,REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,0,18,87,0,0.0,0.0,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day3_vs_control,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,0,18,51,0,0.0,0.0,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day3_vs_control,REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,0,18,24,0,0.0,0.0,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day3_vs_control,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0,18,105,0,0.0,0.0,
HALLMARK_MTORC1_SIGNALING,day3_vs_control,REACTOME_SIGNALING_BY_NTRK2_TRKB,0,52,25,0,0.0,0.0,
HALLMARK_MTORC1_SIGNALING,day3_vs_control,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,0,52,63,0,0.0,0.0,
HALLMARK_MTORC1_SIGNALING,day3_vs_control,REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,0,52,87,0,0.0,0.0,
HALLMARK_MTORC1_SIGNALING,day3_vs_control,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,0,52,51,0,0.0,0.0,
HALLMARK_MTORC1_SIGNALING,day3_vs_control,REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,0,52,24,0,0.0,0.0,
HALLMARK_MTORC1_SIGNALING,day3_vs_control,HALLMARK_PI3K_AKT_MTOR_SIGNALING,21,52,105,7,0.1346153846153846,0.04666666666666667,CALR;MAP2K3;NFKBIB;PIK3R3;SLA;SLC2A1;SQSTM1
HALLMARK_PI3K_AKT_MTOR_SIGNALING,day3_vs_control,REACTOME_SIGNALING_BY_NTRK2_TRKB,6,24,25,2,0.08333333333333333,0.0425531914893617,GRB2;HRAS
HALLMARK_PI3K_AKT_MTOR_SIGNALING,day3_vs_control,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,3,24,63,2,0.08333333333333333,0.023529411764705882,GRB2;HRAS
HALLMARK_PI3K_AKT_MTOR_SIGNALING,day3_vs_control,REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,0,24,87,0,0.0,0.0,
HALLMARK_PI3K_AKT_MTOR_SIGNALING,day3_vs_control,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,0,24,51,0,0.0,0.0,
HALLMARK_PI3K_AKT_MTOR_SIGNALING,day3_vs_control,REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,0,24,24,0,0.0,0.0,
HALLMARK_PI3K_AKT_MTOR_SIGNALING,day3_vs_control,HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,24,105,24,1.0,0.22857142857142856,AKT1;AKT1S1;AP2M1;ARHGDIA;CALR;CFL1;ECSIT;GRB2;HRAS;MAP2K3;MKNK2;NFKBIB;PAK4;PFN1;PIK3R3;PIN1;PPP1CA;RALB;RPS6KA1;RPTOR;SLC2A1;SQSTM1;TRAF2;TSC2
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day3_vs_day1,REACTOME_SIGNALING_BY_NTRK2_TRKB,0,96,25,0,0.0,0.0,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day3_vs_day1,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,0,96,63,0,0.0,0.0,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day3_vs_day1,REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,0,96,87,0,0.0,0.0,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day3_vs_day1,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,0,96,51,0,0.0,0.0,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day3_vs_day1,REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,0,96,24,0,0.0,0.0,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day3_vs_day1,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0,96,105,0,0.0,0.0,
HALLMARK_GLYCOLYSIS,day3_vs_day1,REACTOME_SIGNALING_BY_NTRK2_TRKB,0,66,25,0,0.0,0.0,
HALLMARK_GLYCOLYSIS,day3_vs_day1,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,4,66,63,4,0.06060606060606061,0.032,AGRN;ARTN;CACNA1H;COL5A1
HALLMARK_GLYCOLYSIS,day3_vs_day1,REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,2,66,87,0,0.0,0.0,
HALLMARK_GLYCOLYSIS,day3_vs_day1,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,1,66,51,0,0.0,0.0,
HALLMARK_GLYCOLYSIS,day3_vs_day1,REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,1,66,24,0,0.0,0.0,
HALLMARK_GLYCOLYSIS,day3_vs_day1,HALLMARK_PI3K_AKT_MTOR_SIGNALING,3,66,105,1,0.015151515151515152,0.0058823529411764705,CXCR4
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day3_vs_day1,REACTOME_SIGNALING_BY_NTRK2_TRKB,0,11,25,0,0.0,0.0,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day3_vs_day1,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,1,11,63,0,0.0,0.0,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day3_vs_day1,REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,0,11,87,0,0.0,0.0,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day3_vs_day1,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,0,11,51,0,0.0,0.0,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day3_vs_day1,REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,0,11,24,0,0.0,0.0,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day3_vs_day1,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0,11,105,0,0.0,0.0,
HALLMARK_MTORC1_SIGNALING,day3_vs_day1,REACTOME_SIGNALING_BY_NTRK2_TRKB,0,45,25,0,0.0,0.0,
HALLMARK_MTORC1_SIGNALING,day3_vs_day1,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,0,45,63,0,0.0,0.0,
HALLMARK_MTORC1_SIGNALING,day3_vs_day1,REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,0,45,87,0,0.0,0.0,
HALLMARK_MTORC1_SIGNALING,day3_vs_day1,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,0,45,51,0,0.0,0.0,
HALLMARK_MTORC1_SIGNALING,day3_vs_day1,REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,0,45,24,0,0.0,0.0,
HALLMARK_MTORC1_SIGNALING,day3_vs_day1,HALLMARK_PI3K_AKT_MTOR_SIGNALING,21,45,105,6,0.13333333333333333,0.041666666666666664,CALR;CDKN1A;DDIT3;HSP90B1;NFKBIB;SQSTM1
HALLMARK_PI3K_AKT_MTOR_SIGNALING,day3_vs_day1,REACTOME_SIGNALING_BY_NTRK2_TRKB,6,30,25,1,0.03333333333333333,0.018518518518518517,HRAS
HALLMARK_PI3K_AKT_MTOR_SIGNALING,day3_vs_day1,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,3,30,63,1,0.03333333333333333,0.010869565217391304,HRAS
HALLMARK_PI3K_AKT_MTOR_SIGNALING,day3_vs_day1,REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,0,30,87,0,0.0,0.0,
HALLMARK_PI3K_AKT_MTOR_SIGNALING,day3_vs_day1,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,0,30,51,0,0.0,0.0,
HALLMARK_PI3K_AKT_MTOR_SIGNALING,day3_vs_day1,REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,0,30,24,0,0.0,0.0,
HALLMARK_PI3K_AKT_MTOR_SIGNALING,day3_vs_day1,HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,30,105,30,1.0,0.2857142857142857,AKT1;AKT1S1;ARF1;ARHGDIA;ARPC3;CALR;CDK4;CDKN1A;CXCR4;DDIT3;DUSP3;E2F1;ECSIT;FGF17;FGF22;HRAS;HSP90B1;MKNK2;MYD88;NFKBIB;NGF;PAK4;PIN1;PPP1CA;PPP2R1B;RIPK1;RPTOR;SQSTM1;TRAF2;TRIB3
