"pathway","contrast","block","leading_edge_genes","mean_leading_edge_log_ratio","fraction_same_gene_direction"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","day3_vs_control","68_3__batch1",24,0.970582186937216,1
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","day3_vs_control","68_3__batch2",24,0.587342269107115,1
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","day3_vs_control","69_2__batch1",24,0.29440400106304,1
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","day3_vs_control","68_3__batch1",79,0.581263851292616,0.974683544303797
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","day3_vs_control","68_3__batch2",79,0.534543218936312,1
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","day3_vs_control","69_2__batch1",79,0.13147303067776,0.772151898734177
"REACTOME_AUTOPHAGY","day3_vs_control","68_3__batch1",55,0.788708520182715,1
"REACTOME_AUTOPHAGY","day3_vs_control","68_3__batch2",55,0.481152221091933,0.963636363636364
"REACTOME_AUTOPHAGY","day3_vs_control","69_2__batch1",55,0.234284146098646,0.963636363636364
"REACTOME_MITOPHAGY","day3_vs_control","68_3__batch1",16,0.828915919464841,1
"REACTOME_MITOPHAGY","day3_vs_control","68_3__batch2",16,0.505804753787711,0.9375
"REACTOME_MITOPHAGY","day3_vs_control","69_2__batch1",16,0.237374707325741,1
"REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","day3_vs_control","68_3__batch1",13,-0.592007021502238,1
"REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","day3_vs_control","68_3__batch2",13,-0.342793693442542,0.846153846153846
"REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","day3_vs_control","69_2__batch1",13,-0.347147667937217,1
"REACTOME_SIGNALING_BY_NTRK2_TRKB","day3_vs_control","68_3__batch1",7,0.924019052105088,1
"REACTOME_SIGNALING_BY_NTRK2_TRKB","day3_vs_control","68_3__batch2",7,0.572263487002747,1
"REACTOME_SIGNALING_BY_NTRK2_TRKB","day3_vs_control","69_2__batch1",7,0.2800959032972,1
"HALLMARK_FATTY_ACID_METABOLISM","day3_vs_control","68_3__batch1",57,0.716758128433577,0.982456140350877
"HALLMARK_FATTY_ACID_METABOLISM","day3_vs_control","68_3__batch2",57,0.476960609787364,0.964912280701754
"HALLMARK_FATTY_ACID_METABOLISM","day3_vs_control","69_2__batch1",57,0.151715729086488,0.807017543859649
"HALLMARK_DNA_REPAIR","day3_vs_control","68_3__batch1",63,0.733405069079024,1
"HALLMARK_DNA_REPAIR","day3_vs_control","68_3__batch2",63,0.477450459819928,0.936507936507937
"HALLMARK_DNA_REPAIR","day3_vs_control","69_2__batch1",63,0.231211912863895,0.904761904761905
"REACTOME_TELOMERE_MAINTENANCE","day3_vs_control","68_3__batch1",25,0.711005962058959,1
"REACTOME_TELOMERE_MAINTENANCE","day3_vs_control","68_3__batch2",25,0.52219510878538,1
"REACTOME_TELOMERE_MAINTENANCE","day3_vs_control","69_2__batch1",25,0.227608414882627,0.96
"REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING","day3_vs_control","68_3__batch1",0,,
"REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING","day3_vs_control","68_3__batch2",0,,
"REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING","day3_vs_control","69_2__batch1",0,,
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","day3_vs_day1","68_3__batch1",96,-0.133972125777,0.71875
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","day3_vs_day1","68_3__batch2",96,0.0629328734104984,0.322916666666667
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","day3_vs_day1","69_2__batch1",96,-0.76448301392933,0.916666666666667
"HALLMARK_GLYCOLYSIS","day3_vs_day1","68_3__batch1",66,-0.131773871521342,0.621212121212121
"HALLMARK_GLYCOLYSIS","day3_vs_day1","68_3__batch2",66,-0.455323724008924,0.818181818181818
"HALLMARK_GLYCOLYSIS","day3_vs_day1","69_2__batch1",66,-0.796333312597296,0.96969696969697
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","day3_vs_day1","68_3__batch1",11,-0.323506886904797,0.636363636363636
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","day3_vs_day1","68_3__batch2",11,-0.343733852318222,0.636363636363636
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","day3_vs_day1","69_2__batch1",11,-1.21318089334762,1
"HALLMARK_MTORC1_SIGNALING","day3_vs_day1","68_3__batch1",45,-0.336358641167388,0.822222222222222
"HALLMARK_MTORC1_SIGNALING","day3_vs_day1","68_3__batch2",45,-0.300062268126843,0.888888888888889
"HALLMARK_MTORC1_SIGNALING","day3_vs_day1","69_2__batch1",45,-0.755004251407107,1
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","day3_vs_day1","68_3__batch1",30,-0.157214236823366,0.533333333333333
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","day3_vs_day1","68_3__batch2",30,-0.089671905736289,0.566666666666667
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","day3_vs_day1","69_2__batch1",30,-0.892068465549723,0.966666666666667
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","day3_vs_day1","68_3__batch1",71,-0.128510493113473,0.647887323943662
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","day3_vs_day1","68_3__batch2",71,0.081132257918918,0.309859154929577
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","day3_vs_day1","69_2__batch1",71,-0.762825065939602,0.971830985915493
"REACTOME_AUTOPHAGY","day3_vs_day1","68_3__batch1",45,0.263339961818654,0.866666666666667
"REACTOME_AUTOPHAGY","day3_vs_day1","68_3__batch2",45,0.371682544715777,0.844444444444444
"REACTOME_AUTOPHAGY","day3_vs_day1","69_2__batch1",45,0.253536936051208,0.755555555555556
"REACTOME_MITOPHAGY","day3_vs_day1","68_3__batch1",2,-0.00950401311067051,0.5
"REACTOME_MITOPHAGY","day3_vs_day1","68_3__batch2",2,-0.191137228550144,1
"REACTOME_MITOPHAGY","day3_vs_day1","69_2__batch1",2,-1.90326553813711,1
"REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","day3_vs_day1","68_3__batch1",7,-0.00832593725915309,0.571428571428571
"REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","day3_vs_day1","68_3__batch2",7,-0.203263196186474,0.571428571428571
