"symbol","statistic"
"CRIP2",7.84748895712439
"CTXN1",7.74988433756073
"EEF1A2",7.30169450009432
"DEAF1",7.26908466830062
"ATP6V0E2",7.25362678033103
"PALM",7.2133446932829
"PAFAH1B3",7.20178948992856
"RAC3",7.17078592041825
"ZNF358",7.13460833425359
"ACOT7",7.09483866760069
"HRAS",7.06768381705599
"PRKAR1B",7.02108199356211
"POLR2E",6.97396855127745
"GNB2",6.93864776139
"ENHO",6.91932246515229
"FBLL1",6.91547739817464
"TMSB10",6.88954852633249
"GPX4",6.86523064117225
"FSCN1",6.83090841448064
"PPP1R14B",6.80438747354498
"C1orf233",6.77583585401006
"STMN3",6.74157417964723
"TCEB2",6.70074019608818
"PRDX5",6.64249512954235
"PHPT1",6.64021479923148
"MAP1LC3A",6.6260353131423
"GPX1",6.57824340411443
"RBP1",6.57095669279681
"CCDC124",6.54382001814506
"ALDOA",6.53943288499837
"RAB1B",6.52612721450185
"RPS9",6.47347450076537
"EDF1",6.44349391222948
"FKBP8",6.44246362158225
"CKB",6.37940364769063
"NDUFB7",6.35200619989576
"PRDX2",6.32373279766267
"ECSIT",6.29257420467267
"MAP2K2",6.28548122100844
"RP11-161M6.2",6.27256544993856
"PPP2R1A",6.26966736876216
"RPS15",6.26436808427769
"TBCB",6.26358755078194
"PUF60",6.25848578982032
"MRPL54",6.25021179399685
"RPL36",6.22555772067045
"AES",6.21824011909804
"EPN1",6.18349829899918
"CENPB",6.1420267356271
"GPR153",6.13556771987764
"PPP4C",6.11419606322088
"BOK",6.11178133444474
"ACTB",6.10323205791038
"GPSM1",6.09229830704391
"CUEDC2",6.07426746131194
"PGLS",6.04166022794466
"ADRBK1",6.03991217865696
"RPL8",6.01423219382077
"CLTB",6.01292706022118
"POLR2L",6.01201572317011
"GADD45GIP1",5.99419128707958
"PKN1",5.98163867139528
"RPL28",5.97740512745506
"ARHGDIA",5.97104614049943
"CTNNBIP1",5.96913708200545
"JUP",5.96112488400514
"ARL8A",5.95581404388288
"PPP1CA",5.93273670566253
"GSTP1",5.92271600463678
"MAPK8IP1",5.9136741984668
"EIF6",5.88815785766857
"SH3GL1",5.8786489670279
"FBXW5",5.85467239533075
"COX8A",5.83985617034895
"GPS1",5.82917496507783
"RPS28",5.82432809001498
"ADRM1",5.81990370766422
"PPP2R4",5.80849129158455
"BTBD6",5.7993973205612
"SRM",5.79932971751938
"APBB1",5.79838188287253
"DRAP1",5.79811261418776
"CHMP1A",5.79576731691602
"FBXL19",5.78336042839188
"CSDC2",5.78055715522471
"ATP6V0D1",5.76794550281
"MRPL28",5.75900851451254
"SEPT5",5.75344602025579
"KCTD17",5.72153171112713
"RUVBL2",5.70527643755248
"LDOC1",5.69302161291845
"DGCR6L",5.68279559962843
"VGF",5.68215263706352
"RAB3A",5.65737085558303
"MPND",5.65208179010027
"LRFN4",5.64899199613173
"SCAF1",5.6377804802214
"NUDT14",5.62116804787799
"LRWD1",5.62013342330995
"B4GALT2",5.61721352438507
"GSK3A",5.61108082659698
"DIO3",5.60984090200658
"ACTL6B",5.60882704513869
"PTOV1",5.59515532688515
"CCDC86",5.58289613835849
"R3HCC1",5.56879039323642
"SF3B5",5.54745022165808
"FIS1",5.54127999620663
"RPS2",5.53737074499112
"FOSL2",5.53131058171497
"RPS19",5.52941315340133
"TRIM28",5.52334726924292
"NYAP1",5.51946571298912
"COTL1",5.51230318491402
"UBE2S",5.51161397551436
"FAM195B",5.50903508709903
"NTHL1",5.50376864985053
"PEPD",5.48560899962803
"SLC25A11",5.48382476717269
"RPLP1",5.47791083336263
"PDZD4",5.46923810388682
"VAC14",5.46443678021049
"TPI1",5.46244605706338
"SH3BGRL3",5.45597941291653
"MT3",5.45523432829725
"HSPBP1",5.45473593692073
"MLLT1",5.45421675879728
"GRK6",5.45181053769452
"ALKBH7",5.44821076213619
"CD320",5.44065637289231
"BTBD2",5.43856593375403
"SNX8",5.41677328192021
"SGTA",5.41543466794815
"C7orf43",5.41194368805885
"GUK1",5.40780920359732
"FAM171A2",5.39724667299527
"DPYSL4",5.39451602073297
"LRRC4",5.38434079854738
"HCN2",5.37219999588199
"CDC34",5.37181595175283
"DPF1",5.37029362850628
"RALY",5.35593193708768
"DCXR",5.35586443867737
"CHCHD6",5.35579956926374
"C7orf50",5.35069588243962
"RNF208",5.3451795644082
"GAL",5.34381313446777
"ARHGAP33",5.33889910440559
"TSR3",5.33224035467108
"PRR5",5.33147053719298
"C19orf26",5.32730310143873
"AHCY",5.32283949424744
"DDAH2",5.32254693683507
"TIMM13",5.32127581958529
"GAMT",5.31657084396414
"KCNF1",5.3131384409595
"RASGEF1C",5.29837474104549
"SLC4A3",5.29805699794423
"DDX49",5.28186502976552
"ACTG1",5.27998816657499
"AIP",5.25564604754782
"DBNDD1",5.25336758956401
"CAMK2B",5.24909179111854
"MAP1S",5.24347832124193
"GAPDH",5.23709151050952
"CPNE2",5.22232649852244
"DBN1",5.22171056150131
"EIF5A",5.20833780788226
"SLC25A22",5.20606975166402
"POLR2I",5.19633235628035
"IRF2BP1",5.1944241849056
"CTD-3193O13.9",5.18618951783537
"ATP5D",5.17899712458903
"SCYL1",5.17508356936657
"NUDT16L1",5.17373513477132
"CALM3",5.16914665282064
"ARMC6",5.16724170980902
"GIT1",5.16562110388537
"RPS5",5.16033905252516
"SLC25A6",5.15247540897532
"PRMT1",5.15243022287028
"FAM213B",5.14715842382525
"H2AFY2",5.14289279534491
"AP1B1",5.13936606488743
"ARHGDIG",5.13754504565627
"ZNF423",5.13716037269817
"ASNA1",5.13138047999988
"UBXN6",5.13123939028911
"DVL1",5.12487529592135
"HMGA1",5.12219073161013
"REEP2",5.12216168975905
"RLTPR",5.12180449677759
"CIB2",5.11817451047345
"NDUFS6",5.1035330199841
"PKM",5.08336911169
"FAM89B",5.08094363447411
"CLIP2",5.07976811331645
"MRPL23",5.06213462632681
"DLK1",5.05265790067869
"SNRNP25",5.04851839566316
"AKT1",5.04035756155307
"GFER",5.03274153425033
"CEP170B",5.03168517387533
"MARCKSL1",5.02977456361033
"RNF187",5.02825702854351
"FAM127A",5.02109506991074
"MYL6B",5.01977583768835
"PTMS",5.01852751390925
"FAU",5.01491914142617
"GNG8",5.00672970597939
"ODC1",5.00458059130298
"TRAF7",4.99527399699166
"AGAP3",4.99184975687728
"MAZ",4.99159578973993
"COPE",4.99130469607279
"LY6E",4.97146605293841
"CCDC106",4.96917823589927
"WBP2",4.96813927800004
"NAT14",4.9678264157074
"TRAPPC2L",4.9659680584026
"G6PD",4.96578362776228
"RPL18A",4.96300987715589
"STRA13",4.9603825739986
"NCS1",4.95988713001662
"PSMD8",4.95230251807437
"PCSK1N",4.94670248825378
"RGMA",4.946446979364
"HMOX2",4.93427284956574
"FAM129B",4.93355746436742
"RHOBTB2",4.92520123343372
"FARSA",4.922744524047
"ARPC4",4.90144705288598
"SNCB",4.89999534508445
"PSMB6",4.89963685428933
"MEA1",4.89957000022066
"CRTC1",4.8988330424185
"SSNA1",4.89700175432547
"CLUH",4.89522521907206
"VPS28",4.89180832356146
"TUBB4B",4.88852495201482
"LYPLA2",4.88844286380956
"HAGH",4.88823105180183
"SMARCA4",4.8871672596827
"WDR83OS",4.8851368443978
"PSMC3",4.87966886876472
"OLFM2",4.8751637928645
"MED16",4.87420848740291
"DPYSL5",4.87399690840602
"CSK",4.86823111872514
"KLC2",4.86581702170899
"BCAR1",4.86437154584625
"CNP",4.85922977038318
"FKBP2",4.8582243317809
"RRP9",4.85745957538531
"CAPNS1",4.84398899032527
"TH",4.84122224849145
"SAMD14",4.8393535903409
"ARVCF",4.83920909026659
"COX6B1",4.834516705461
"LRP3",4.82717542270997
"CTC-503J8.6",4.82025911261362
"CPSF1",4.81511528598132
"CYC1",4.81431706750089
"RPL35",4.81422808725524
"SQSTM1",4.8131783110269
"MAD1L1",4.81275863300687
"ITPK1",4.81252680230518
"FZR1",4.81230404159122
"SLC25A1",4.80782969350414
"TIMM17B",4.80410064356377
"DYNLRB1",4.79654342981998
"ETNK2",4.79331954474136
"TRAPPC1",4.79030774632693
"KIF17",4.78601497622403
"WDR34",4.7849676430344
"CEND1",4.78170516172534
"C17orf70",4.7790843893005
"GTPBP1",4.77793796761397
"RNF40",4.77721070617476
"MMP2",4.77707570049967
"NDUFB11",4.77521741324936
"REXO1",4.77437608737115
"NSMF",4.76829124719033
"CFL1",4.75866352607744
"AP2S1",4.75582340636007
"PIP5K1C",4.75525585222036
"PQBP1",4.75450520421794
"CORO1A",4.75143141105878
"TUFM",4.75089583088039
"C20orf27",4.74852991994832
"C11orf68",4.74556196284536
"EMD",4.74414645522182
"TOMM40",4.73938916593231
"CPLX2",4.73793995008412
"GNG3",4.73774994615384
"LINGO1",4.73746558825524
"DMTN",4.73676606273547
"COPS6",4.73648090110927
"TCEA2",4.72443359231385
"HES6",4.72340312521272
"CLPP",4.72215296899286
"CDK5",4.72017720001748
"CDIP1",4.71890979597302
"ARNT2",4.71831252354156
"MAP3K10",4.71726119787098
"GALNT9",4.71624572472929
"FNDC9",4.71354274836089
"SAMD10",4.70722466001283
"USP5",4.7031282400479
"VAT1",4.70267042811273
"LIMK1",4.69615834445772
"TKT",4.69009806437213
"GDI1",4.68956425144182
"OGDH",4.67909359032503
"U2AF2",4.67819766335337
"NACC1",4.66850772689603
"STOML1",4.66797764895218
"ELOF1",4.65523932750849
"KCTD13",4.65485250994562
"NDUFS8",4.65248095048399
"SBK1",4.64502708674752
"PEF1",4.64480337388554
"STRN4",4.6428961845203
"RANGAP1",4.64029633303797
"HDAC5",4.63919479338816
"ROGDI",4.63821920942766
"NTMT1",4.63537818395033
"TADA3",4.63378995498035
"ATP6V1F",4.62823208269741
"UBB",4.62526074157569
"CRMP1",4.62247399138013
"TXN2",4.61967723477193
"CNIH2",4.6188504305035
"AP2M1",4.61870284647212
"NOC2L",4.61594068955003
"BAIAP3",4.6098054647351
"CORO7",4.60969163972176
"TALDO1",4.60924296512493
"PGD",4.60644181819111
"PSD",4.60218190089306
"CCDC85C",4.60175515995856
"AP1M1",4.59751466157015
"OTUB1",4.59681996563931
"STUB1",4.59671926174985
"DDX54",4.5957276270506
"CYB5R3",4.59339726213031
"GNA11",4.59206431401659
"ETFB",4.58796688179144
"GDAP1L1",4.58727019586242
"MMP24-AS1",4.58391046235837
"C9orf142",4.57973698417957
"THRA",4.57791783271783
"AC092171.4",4.57678898731418
"C19orf53",4.57361161567647
"DOHH",4.57193646153304
"COX4I1",4.56929145174938
"CALY",4.56798700043425
"BSG",4.56580155464672
"DCAF15",4.56553344339724
"NCDN",4.56534367833989
"CAMK2N2",4.56411914015374
"GPAA1",4.56387207917231
"MATK",4.56224644457197
"RPL19",4.56162750862647
"PINK1",4.56055839736237
