"","68_3__batch1__control","68_3__batch1__psilocin_day1","68_3__batch1__psilocin_day3","68_3__batch2__control","68_3__batch2__psilocin_day1","68_3__batch2__psilocin_day3","69_2__batch1__control","69_2__batch1__psilocin_day1","69_2__batch1__psilocin_day3"
"68_3__batch1__control",1,0.989385586569905,0.990744121407055,0.988897643957833,0.980375842048627,0.983838314372159,0.97908664508821,0.958951173917838,0.976868867210774
"68_3__batch1__psilocin_day1",0.989385586569905,1,0.993093156208467,0.988579848050642,0.989658202036682,0.989868204647915,0.978357595363074,0.969908377974608,0.978859407094991
"68_3__batch1__psilocin_day3",0.990744121407055,0.993093156208467,1,0.992004789833116,0.988096509392013,0.992127724881139,0.979453697917315,0.971893115756952,0.980546196359524
"68_3__batch2__control",0.988897643957833,0.988579848050642,0.992004789833116,1,0.988528067144219,0.991227923863713,0.978412527249031,0.970276070552292,0.979873106318518
"68_3__batch2__psilocin_day1",0.980375842048627,0.989658202036682,0.988096509392013,0.988528067144219,1,0.990606072264552,0.973946808107797,0.973302229431956,0.976351440733615
"68_3__batch2__psilocin_day3",0.983838314372159,0.989868204647915,0.992127724881139,0.991227923863713,0.990606072264552,1,0.976353473267494,0.975904784996379,0.979095871880955
"69_2__batch1__control",0.97908664508821,0.978357595363074,0.979453697917315,0.978412527249031,0.973946808107797,0.976353473267494,1,0.982032218688693,0.99523549001995
"69_2__batch1__psilocin_day1",0.958951173917838,0.969908377974608,0.971893115756952,0.970276070552292,0.973302229431956,0.975904784996379,0.982032218688693,1,0.985749741668595
"69_2__batch1__psilocin_day3",0.976868867210774,0.978859407094991,0.980546196359524,0.979873106318518,0.976351440733615,0.979095871880955,0.99523549001995,0.985749741668595,1
