"","68_3__batch1__control","68_3__batch1__psilocin_day1","68_3__batch1__psilocin_day3","68_3__batch2__control","68_3__batch2__psilocin_day1","68_3__batch2__psilocin_day3","69_2__batch1__control","69_2__batch1__psilocin_day1","69_2__batch1__psilocin_day3"
"68_3__batch1__control",0,89.1618924090307,84.5815061224647,91.0312439195366,121.228999871278,111.325450533789,125.125220551299,176.978032624847,131.675939955476
"68_3__batch1__psilocin_day1",89.1618924090307,0,72.9684694666759,92.5174374976699,88.3002220635585,88.3828271467989,127.498714524299,151.832893824991,126.112497255164
"68_3__batch1__psilocin_day3",84.5815061224647,72.9684694666759,0,78.5903702386748,95.5139372731988,77.9757916321367,125.566704499379,147.838142611601,122.174972295356
"68_3__batch2__control",91.0312439195366,92.5174374976699,78.5903702386748,0,92.9550040415555,82.5030545292758,127.050964725704,150.641198053965,122.816748350069
"68_3__batch2__psilocin_day1",121.228999871278,88.3002220635585,95.5139372731988,92.9550040415555,0,85.0050126787138,140.201730937988,143.517209874473,133.67839248623
"68_3__batch2__psilocin_day3",111.325450533789,88.3828271467989,77.9757916321367,82.5030545292758,85.0050126787138,0,134.889444136491,137.374779302277,126.873371922088
"69_2__batch1__control",125.125220551299,127.498714524299,125.566704499379,127.050964725704,140.201730937988,134.889444136491,0,117.036060215304,59.743973617365
"69_2__batch1__psilocin_day1",176.978032624847,151.832893824991,147.838142611601,150.641198053965,143.517209874473,137.374779302277,117.036060215304,0,104.452501181285
"69_2__batch1__psilocin_day3",131.675939955476,126.112497255164,122.174972295356,122.816748350069,133.67839248623,126.873371922088,59.743973617365,104.452501181285,0
