"","68_3__batch1__control","68_3__batch1__psilocin_day1","68_3__batch1__psilocin_day3","68_3__batch2__control","68_3__batch2__psilocin_day1","68_3__batch2__psilocin_day3","69_2__batch1__control","69_2__batch1__psilocin_day1","69_2__batch1__psilocin_day3"
"68_3__batch1__control",1,0.939797017923315,0.944597062257403,0.941148409129142,0.926309222504771,0.933604348321349,0.922302743044625,0.905930154130809,0.920703195458146
"68_3__batch1__psilocin_day1",0.939797017923315,1,0.942515209563488,0.936838020068585,0.935549683122016,0.937492800479967,0.920330672172214,0.915284994011478,0.92170957454346
"68_3__batch1__psilocin_day3",0.944597062257403,0.942515209563488,1,0.942186165789647,0.932175142482105,0.940035246811234,0.922714027651939,0.916711978708832,0.923823745626492
"68_3__batch2__control",0.941148409129142,0.936838020068585,0.942186165789647,1,0.932923979775954,0.93817886611048,0.918883654724828,0.910379868463942,0.921287606308269
"68_3__batch2__psilocin_day1",0.926309222504771,0.935549683122016,0.932175142482105,0.932923979775954,1,0.933530593306896,0.911582815924106,0.911516195492024,0.914550048095015
"68_3__batch2__psilocin_day3",0.933604348321349,0.937492800479967,0.940035246811234,0.93817886611048,0.933530593306896,1,0.916782149080124,0.916018842072158,0.919603987674085
"69_2__batch1__control",0.922302743044625,0.920330672172214,0.922714027651939,0.918883654724828,0.911582815924106,0.916782149080124,1,0.936130079687528,0.948635072086531
"69_2__batch1__psilocin_day1",0.905930154130809,0.915284994011478,0.916711978708832,0.910379868463942,0.911516195492024,0.916018842072158,0.936130079687528,1,0.939154580308799
"69_2__batch1__psilocin_day3",0.920703195458146,0.92170957454346,0.923823745626492,0.921287606308269,0.914550048095015,0.919603987674085,0.948635072086531,0.939154580308799,1
