"sample_id","PC1","PC2","ID","ASID","Name","sample_name","RIN","Cell_line","Condition","Culture","Batch","QC_comment","timepoint_d","Age.generation.of.fibroblasts","Sex","Psi_conc_uM","Psi_trt_time_min","Ket_conc_uM","Ket_trt_time_min","PLG_conc_uM","PLG_trt_time_min","ODCF_name","Condition_simple","Treatment_simple","sizeFactor"
"trt43-2",26.5010625734019,-13.3667496418371,,,"3D 10µM Psi + 75µM Ket 10min 3","OE0533_MS_683_1_T43",8.7,"68_3","3D_10µM_Psi_75µM_Ket_10min_3","2D","1",,,,"Female",10,10,75,20,"0",0,"trt43-2","Trt4","ket",1.03751020300836
"trt51-3",27.7989736081195,7.80246729311019,,,"1D 10µM Psi 10min 1","OE0533_MS_683_2_T51",8.9,"68_3","1D_10µM_Psi_10min_1","2D","2",,,,"Female",10,10,0,0,"0",0,"trt51-3","Trt5","psi",1.26710704685733
"trt511-2",25.1786563697326,-6.51767638126331,,,"1D 10µM Psi 10min 1 T1","OE0533_MS_683_1_T511",7.4,"68_3","1D_10µM_Psi_10min_1_T1","2D","1",,,,"Female",10,10,0,0,"0",0,"trt511-2","Trt5","psi",1.00445682462496
"trt511-4",-34.3179029792396,29.9929109452221,,,"1D 10µM Psi 10min 1 T1","OE0533_MS_692_1_T511",5.2,"69_2","1D_10µM_Psi_10min_1_T1","2D","1","Sample was sent in on a separate plate again (first QC failed), seq was connected to former submission ",,,"Female",10,10,0,0,"0",0,"trt511-4","Trt5","psi",0.909409017235013
"trt512-2",26.0235702062253,-1.77766744030244,,,"1D 10µM Psi 10min 1 T2 ","OE0533_MS_683_1_T512",7.7,"68_3","1D_10µM_Psi_10min_1_T2 ","2D","1",,,,"Female",10,10,0,0,"0",0,"trt512-2","Trt5","psi",0.839859014742715
"trt512-4",-34.113528573509,31.3016764304331,,,"1D 10µM Psi 10min 1 T2 ","OE0533_MS_692_1_T512",5,"69_2","1D_10µM_Psi_10min_1_T2 ","2D","1","Sample was sent in on a separate plate again (first QC failed), seq was connected to former submission ",,,"Female",10,10,0,0,"0",0,"trt512-4","Trt5","psi",0.777971366497261
"trt52-1",-37.8792200372641,-5.12218251144691,,,"1D 10µM Psi 10min 2","OE0533_MS_692_1_T52",6.7,"69_2","1D_10µM_Psi_10min_2","2D","1",,,,"Female",10,10,0,0,"0",0,"trt52-1","Trt5","psi",1.15069386561429
"trt52-2",25.3882962790477,-13.1544714644176,,,"1D 10µM Psi 10min 2","OE0533_MS_683_1_T52",9.1,"68_3","1D_10µM_Psi_10min_2","2D","1",,,,"Female",10,10,0,0,"0",0,"trt52-2","Trt5","psi",0.759683374039593
"trt61-1",-38.6716321526735,-9.96036575067582,,,"1D 10µM Psi + 75µM Ket 10min 1","OE0533_MS_692_1_T61",8,"69_2","1D_10µM_Psi_75µM_Ket_10min_1","2D","1",,,,"Female",10,10,75,20,"0",0,"trt61-1","Trt6","ket",1.14814373121736
"trt61-3",28.4494901146458,16.4272818070236,,,"1D 10µM Psi + 75µM Ket 10min 1","OE0533_MS_683_2_T61",9.4,"68_3","1D_10µM Psi_75µM_Ket_10min_1","2D","2",,,,"Female",10,10,75,20,"0",0,"trt61-3","Trt6","ket",1.10408782055657
"trt62-1",-38.8443283777977,-9.87061218000891,,,"1D 10µM Psi + 75µM Ket 10min 2","OE0533_MS_692_1_T62",8.2,"69_2","1D_10µM_Psi_75µM_Ket_10min_2","2D","1",,,,"Female",10,10,75,20,"0",0,"trt62-1","Trt6","ket",1.06571151511847
"trt62-2",25.6155091621459,-5.07305147354887,,,"1D 10µM Psi + 75µM Ket 10min 2","OE0533_MS_683_1_T62",8.9,"68_3","1D_10µM_Psi_75µM_Ket_10min_2","2D","1",,,,"Female",10,10,75,20,"0",0,"trt62-2","Trt6","ket",1.17808874100927
"trt63-2",25.9892109778483,-5.13658335141687,,,"1D 10µM Psi + 75µM Ket 10min 3","OE0533_MS_688_1_T63",8.7,"68_3","1D_10µM_Psi_75µM_Ket_10min_3","2D","1",,,,"Female",10,10,75,20,"0",0,"trt63-2","Trt6","ket",1.35031236024973
"trt71-1",-33.9823999486089,12.9308176721402,,,"Ctrl + 4h PLG 1","OE0533_MS_692_1_T71",8.2,"69_2","Ctrl_4h_PLG_1","2D","1",,,,"Female",0,0,0,0,"1 mg/ml",240,"trt71-1","Trt7","Ctrl_PLG",0.987209401498298
"trt71-3",28.8064218767145,20.8062499822321,,,"Ctrl + 4h PLG 1","OE0533_MS_683_2_T71",8.8,"68_3","Ctrl_4h_PLG_1","2D","2",,,,"Female",0,0,0,0,"1 mg/ml",240,"trt71-3","Trt7","Ctrl_PLG",1.25863392243505
"trt72-1",-34.4390343121647,8.80970607790833,,,"Ctrl + 4h PLG 2","OE0533_MS_692_1_T72",8.2,"69_2","Ctrl_4h_PLG_2","2D","1",,,,"Female",0,0,0,0,"1 mg/ml",240,"trt72-1","Trt7","Ctrl_PLG",1.18648069101992
"trt72-3",28.8094968503305,15.9351781592493,,,"Ctrl + 4h PLG 2","OE0533_MS_683_2_T72",8.3,"68_3","Ctrl_4h_PLG_2","2D","2",,,,"Female",0,0,0,0,"1 mg/ml",240,"trt72-3","Trt7","Ctrl_PLG",0.808145132905722
"trt81-1",-36.3311814173763,7.66941778323464,,,"3D 10µM Psi + 4h PLG 1","OE0533_MS_692_1_T81",5.7,"69_2","3D_10µM_Psi_4h_PLG_1","2D","1",,,,"Female",10,10,0,0,"1 mg/ml",240,"trt81-1","Trt8","PLG",0.937492523657308
"trt81-3",29.5247503676793,30.1535673453248,,,"3D 10µM Psi + 4h PLG 1","OE0533_MS_683_2_T81",6.4,"68_3","3D_10µM_Psi_4h_PLG_1","2D","2",,,,"Female",10,10,0,0,"1 mg/ml",240,"trt81-3","Trt8","PLG",0.790123025313474
"trt82-1",-37.2742113447517,1.97905319111462,,,"3D 10µM Psi + 4h PLG 2","OE0533_MS_692_1_T82",5.7,"69_2","3D_10µM_Psi_4h_PLG_2","2D","1",,,,"Female",10,10,0,0,"1 mg/ml",240,"trt82-1","Trt8","PLG",0.837719620324546
"trt82-3",29.7356253343352,34.8698804626714,,,"3D 10µM Psi + 4h PLG 2","OE0533_MS_683_2_T82",6.2,"68_3","3D_10µM_Psi_4h_PLG_2","2D","2",,,,"Female",10,10,0,0,"1 mg/ml",240,"trt82-3","Trt8","PLG",1.08059326848387
