"sample_id","PC1","PC2","ODCF_name","ID","ASID","Name","sample_name","RIN","Cell_line","Condition","Culture","Batch","QC_comment","timepoint_d","Age generation of fibroblasts","Sex","Psi_conc_uM","Psi_trt_time_min","Ket_conc_uM","Ket_trt_time_min","PLG_conc_uM","PLG_trt_time_min","Condition_simple","Treatment_simple","block","condition","post_exposure_day","analysis_unit","biological_unit_status","control_time_status"
"trt311-3",24.5381124047294,6.95571085103281,"trt311-3",,,"3D 10µM Psi 10min 1 T1","OE0533_MS_683_2_T311",9.2,"68_3","3D_10µM_Psi_10min_1_T1","2D",2,"",,,"Female",10,10,0,0,0,0,"Trt3","psi","68_3__batch2","psilocin_day3",3,"68_3__batch2__psilocin_day3","conservative line-by-batch grouping; MDAR definition applied to Batch","source condition label + published contrast"
"trt312-3",21.3957810712767,18.0215860491403,"trt312-3",,,"3D 10µM Psi 10min 1 T2","OE0533_MS_683_2_T312",9.2,"68_3","3D_10µM_Psi_10min_1_T2","2D",2,"",,,"Female",10,10,0,0,0,0,"Trt3","psi","68_3__batch2","psilocin_day3",3,"68_3__batch2__psilocin_day3","conservative line-by-batch grouping; MDAR definition applied to Batch","source condition label + published contrast"
"trt32-1",-37.142084118447,-9.17626479884724,"trt32-1",,,"3D 10µM Psi 10min 2","OE0533_MS_692_1_T32",8.2,"69_2","3D_10µM_Psi_10min_2","2D",1,"",,,"Female",10,10,0,0,0,0,"Trt3","psi","69_2__batch1","psilocin_day3",3,"69_2__batch1__psilocin_day3","conservative line-by-batch grouping; MDAR definition applied to Batch","source condition label + published contrast"
"trt32-2",23.8048725895178,8.96385773214191,"trt32-2",,,"3D 10µM Psi 10min 2","OE0533_MS_683_1_T32",9.4,"68_3","3D_10µM_Psi_10min_2","2D",1,"",,,"Female",10,10,0,0,0,0,"Trt3","psi","68_3__batch1","psilocin_day3",3,"68_3__batch1__psilocin_day3","conservative line-by-batch grouping; MDAR definition applied to Batch","source condition label + published contrast"
"trt33-1",-37.2394252117889,-7.42992000850151,"trt33-1",,,"3D 10µM Psi 10min 3","OE0533_MS_692_1_T33",7.7,"69_2","3D_10µM_Psi_10min_3","2D",1,"",,,"Female",10,10,0,0,0,0,"Trt3","psi","69_2__batch1","psilocin_day3",3,"69_2__batch1__psilocin_day3","conservative line-by-batch grouping; MDAR definition applied to Batch","source condition label + published contrast"
"trt33-2",24.9254967375453,-0.065428729554536,"trt33-2",,,"3D 10µM Psi 10min 3","OE0533_MS_683_1_T33",9.3,"68_3","3D_10µM_Psi_10min_3","2D",1,"",,,"Female",10,10,0,0,0,0,"Trt3","psi","68_3__batch1","psilocin_day3",3,"68_3__batch1__psilocin_day3","conservative line-by-batch grouping; MDAR definition applied to Batch","source condition label + published contrast"
"trt51-3",21.5379878015683,14.0634314879651,"trt51-3",,,"1D 10µM Psi 10min 1","OE0533_MS_683_2_T51",8.9,"68_3","1D_10µM_Psi_10min_1","2D",2,"",,,"Female",10,10,0,0,0,0,"Trt5","psi","68_3__batch2","psilocin_day1",1,"68_3__batch2__psilocin_day1","conservative line-by-batch grouping; MDAR definition applied to Batch","source condition label + published contrast"
"trt511-2",24.7520351918619,-1.72854781102471,"trt511-2",,,"1D 10µM Psi 10min 1 T1","OE0533_MS_683_1_T511",7.4,"68_3","1D_10µM_Psi_10min_1_T1","2D",1,"",,,"Female",10,10,0,0,0,0,"Trt5","psi","68_3__batch1","psilocin_day1",1,"68_3__batch1__psilocin_day1","conservative line-by-batch grouping; MDAR definition applied to Batch","source condition label + published contrast"
"trt511-4",-46.7699410745005,31.0445819578948,"trt511-4",,,"1D 10µM Psi 10min 1 T1","OE0533_MS_692_1_T511",5.2,"69_2","1D_10µM_Psi_10min_1_T1","2D",1,"Sample was sent in on a separate plate again (first QC failed), seq was connected to former submission ",,,"Female",10,10,0,0,0,0,"Trt5","psi","69_2__batch1","psilocin_day1",1,"69_2__batch1__psilocin_day1","conservative line-by-batch grouping; MDAR definition applied to Batch","source condition label + published contrast"
"trt512-2",23.3592999001335,4.46145085283599,"trt512-2",,,"1D 10µM Psi 10min 1 T2 ","OE0533_MS_683_1_T512",7.7,"68_3","1D_10µM_Psi_10min_1_T2 ","2D",1,"",,,"Female",10,10,0,0,0,0,"Trt5","psi","68_3__batch1","psilocin_day1",1,"68_3__batch1__psilocin_day1","conservative line-by-batch grouping; MDAR definition applied to Batch","source condition label + published contrast"
"trt512-4",-47.2195690508694,32.7727636757397,"trt512-4",,,"1D 10µM Psi 10min 1 T2 ","OE0533_MS_692_1_T512",5,"69_2","1D_10µM_Psi_10min_1_T2 ","2D",1,"Sample was sent in on a separate plate again (first QC failed), seq was connected to former submission ",,,"Female",10,10,0,0,0,0,"Trt5","psi","69_2__batch1","psilocin_day1",1,"69_2__batch1__psilocin_day1","conservative line-by-batch grouping; MDAR definition applied to Batch","source condition label + published contrast"
"trt52-1",-34.7869434912902,-13.827255001821,"trt52-1",,,"1D 10µM Psi 10min 2","OE0533_MS_692_1_T52",6.7,"69_2","1D_10µM_Psi_10min_2","2D",1,"",,,"Female",10,10,0,0,0,0,"Trt5","psi","69_2__batch1","psilocin_day1",1,"69_2__batch1__psilocin_day1","conservative line-by-batch grouping; MDAR definition applied to Batch","source condition label + published contrast"
"trt52-2",26.6601333264841,-4.08035265089962,"trt52-2",,,"1D 10µM Psi 10min 2","OE0533_MS_683_1_T52",9.1,"68_3","1D_10µM_Psi_10min_2","2D",1,"",,,"Female",10,10,0,0,0,0,"Trt5","psi","68_3__batch1","psilocin_day1",1,"68_3__batch1__psilocin_day1","conservative line-by-batch grouping; MDAR definition applied to Batch","source condition label + published contrast"
