"sample_id","library_counts","detected_genes","size_factor","log_library_mad","review_flag"
"68_3__batch1__control",46524046,33575,1.36906245028405,0.713576222194407,FALSE
"68_3__batch1__psilocin_day1",36541246,32689,1.05339223069295,0.206825770348515,FALSE
"68_3__batch1__psilocin_day3",41765705,31876,1.09754069512882,0.302419890037245,FALSE
"68_3__batch2__control",25695912,31410,0.79509057281674,1.54862869494818,FALSE
"68_3__batch2__psilocin_day1",15808738,29487,0.519258075651289,3.39977427437927,TRUE
"68_3__batch2__psilocin_day3",27561924,30491,0.818407681778183,1.28148223641431,FALSE
"69_2__batch1__control",41697411,33867,1.23444441712135,0.296183564927235,FALSE
"69_2__batch1__psilocin_day1",38579302,33233,1.1885376557433,0,FALSE
"69_2__batch1__psilocin_day3",46049305,33987,1.38156916014461,0.674490759476595,FALSE
